code,name,date,prev_trading_date,prev_close,close,prev_stocks,stocks,price_ratio,stocks_ratio,market,reason
000105,유한양행(1우),1995-11-21,1995-11-20,25500,25000,115138,214717,0.9803921568627451,1.8648665080164673,KOSPI,stocks_change_ge_20pct
001065,중외제약(1우),1995-11-22,1995-11-17,20700,19300,84841,101905,0.9323671497584541,1.201129171037588,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
001080,만호제강,1995-07-21,1995-07-20,206000,201000,664000,830000,0.9757281553398058,1.25,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
001550,조비,1995-06-29,1995-06-28,13100,13000,665321,800000,0.9923664122137404,1.2024270990995325,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
002354,우성타이어(전환1신),1995-09-21,1995-09-20,9500,9100,194444,402777,0.9578947368421052,2.0714293061241285,KOSPI,stocks_change_ge_20pct
002354,우성타이어(전환1신),1995-12-21,1995-12-20,11100,11000,402777,611110,0.990990990990991,1.517241550535408,KOSPI,stocks_change_ge_20pct
002461,화성산업(1신),1995-08-22,1995-08-21,29000,28500,1063182,1600000,0.9827586206896551,1.5049163736782603,KOSPI,stocks_change_ge_20pct
002581,삼미(1신),1995-10-31,1995-10-20,5100,5150,57155,85009,1.0098039215686274,1.487341439944012,KOSPI,stocks_change_ge_20pct
002851,영풍산업(1신),1995-07-18,1995-07-15,28500,30200,1200000,2246892,1.0596491228070175,1.87241,KOSPI,stocks_change_ge_20pct
002855,영풍산업(1우),1995-10-21,1995-10-20,18000,18000,112443,148039,1,1.3165692839927785,KOSPI,stocks_change_ge_20pct
002855,영풍산업(1우),1995-11-21,1995-11-20,16200,15300,148039,193676,0.9444444444444444,1.3082768729861725,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
002855,영풍산업(1우),1995-12-21,1995-12-20,13200,12700,193676,248440,0.9621212121212122,1.282760899646833,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
003050,대성전선,1995-09-29,1995-09-28,17600,17600,1088820,1388820,1,1.2755276354218328,KOSPI,stocks_change_ge_20pct
003560,태평양패션,1995-11-21,1995-11-20,6050,5900,1520481,1870481,0.9752066115702479,1.23019031477539,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
003620,쌍용자동차,1995-06-21,1995-06-20,8650,8500,30602650,38006331,0.9826589595375722,1.2419294080741374,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
004110,대선주조,1995-07-21,1995-07-20,25800,24500,1430000,1771000,0.9496124031007752,1.2384615384615385,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
005114,한창(전환1신),1995-09-21,1995-07-26,27800,25800,29528,35752,0.9280575539568345,1.2107829856407477,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
005180,빙그레,1995-09-29,1995-09-28,19400,19000,1600000,2400000,0.979381443298969,1.5,KOSPI,stocks_change_ge_20pct
006900,요업개발,1995-06-10,1995-05-12,1240,470,1300000,1300000,0.3790322580645161,1,KOSPI,price_ratio_le_0.6
007190,신호제지,1995-06-29,1995-06-28,10900,11000,4400000,5600000,1.0091743119266054,1.2727272727272727,KOSPI,stocks_change_ge_20pct
008540,태창,1995-05-31,1995-05-30,64500,68300,1200000,1440000,1.0589147286821705,1.2,KOSPI,stocks_change_ge_20pct
009440,한국코트렐,1995-09-29,1995-09-21,67000,59800,600000,860000,0.8925373134328358,1.4333333333333333,KOSPI,stocks_change_ge_20pct
010120,엘지산전,1995-09-28,1995-09-27,24800,24400,14807506,20350786,0.9838709677419355,1.3743560867035949,KOSPI,stocks_change_ge_20pct
010220,동해종합금융,1995-11-01,1995-10-31,28800,28800,3000000,3900000,1,1.3,KOSPI,stocks_change_ge_20pct
010730,금강화섬,1995-09-29,1995-09-28,11600,10900,3310644,4945306,0.9396551724137931,1.4937595223165039,KOSPI,stocks_change_ge_20pct
011720,현대페인트,1995-11-29,1995-11-28,34500,29700,980000,1197553,0.8608695652173913,1.221992857142857,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
012190,온양팔프,1995-06-29,1995-06-28,10700,10600,4440800,6240800,0.9906542056074766,1.4053323725454874,KOSPI,stocks_change_ge_20pct
017070,호승,1995-11-03,1995-10-10,730,370,1280000,1280000,0.5068493150684932,1,KOSPI,price_ratio_le_0.6
017070,호승,1995-11-07,1995-11-06,470,270,1280000,1280000,0.574468085106383,1,KOSPI,price_ratio_le_0.6
019380,신강제지,1995-09-29,1995-09-28,9600,9320,2310000,3460000,0.9708333333333333,1.4978354978354977,KOSPI,stocks_change_ge_20pct
025610,국제상호신용,1995-06-29,1995-06-28,10300,7750,2800000,4000000,0.7524271844660194,1.4285714285714286,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
000070,삼양사,1996-06-28,1996-06-27,24500,23300,7920000,9652720,0.9510204081632653,1.2187777777777777,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
000080,진로,1996-09-25,1996-09-24,17200,17200,9258825,12383351,1,1.3374646350913857,KOSPI,stocks_change_ge_20pct
000090,두산상사,1996-01-03,1995-12-27,8090,7900,4800000,6000000,0.9765142150803461,1.25,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
000091,유니온(1신),1996-07-09,1995-12-27,7330,38100,1200000,100000,5.1978171896316505,0.08333333333333333,KOSPI,stocks_change_ge_20pct;price_ratio_ge_1.8
000120,대한통운,1996-01-03,1995-12-27,27200,28000,9355762,12000000,1.0294117647058822,1.2826320293312292,KOSPI,stocks_change_ge_20pct
000140,조선맥주,1996-01-03,1995-12-27,28700,29400,5881661,7837723,1.024390243902439,1.3325696601691257,KOSPI,stocks_change_ge_20pct
000160,대한중석,1996-01-03,1995-12-27,24100,23900,5400366,9265968,0.991701244813278,1.7158037066376612,KOSPI,stocks_change_ge_20pct
000161,대한중석(1신),1996-05-15,1995-12-27,23600,23900,161127,234574,1.0127118644067796,1.4558329764719755,KOSPI,stocks_change_ge_20pct
000210,대림산업,1996-01-03,1995-12-27,13400,13000,22081065,30145819,0.9701492537313433,1.3652339232731754,KOSPI,stocks_change_ge_20pct
000280,동아건설,1996-01-03,1995-12-27,27100,26700,27917843,35970000,0.985239852398524,1.2884233212429772,KOSPI,stocks_change_ge_20pct
000320,대한페인트,1996-01-03,1995-12-27,30600,29900,940191,1435636,0.9771241830065359,1.5269620747273693,KOSPI,stocks_change_ge_20pct
000380,대아건설,1996-07-30,1996-07-16,8800,4800,6050646,6050646,0.5454545454545454,1,KOSDAQ,price_ratio_le_0.6
000430,대원강업,1996-01-03,1995-12-27,16600,15500,3200000,4000000,0.9337349397590361,1.25,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
000450,한주통산,1996-01-03,1995-12-27,7050,7000,4326000,6056400,0.9929078014184397,1.4,KOSPI,stocks_change_ge_20pct
000800,경남기업,1996-01-03,1995-12-27,13100,12600,7244797,10140797,0.9618320610687023,1.3997351478585252,KOSPI,stocks_change_ge_20pct
000801,경남기업(1신),1996-03-12,1995-12-27,12800,9800,2896000,4859203,0.765625,1.6779015883977901,KOSPI,stocks_change_ge_20pct
000830,삼성물산,1996-01-03,1995-12-27,20800,21300,15305750,24755750,1.0240384615384615,1.6174150237655782,KOSPI,stocks_change_ge_20pct
000830,삼성물산,1996-02-09,1996-02-08,21300,21200,24755750,59244636,0.9953051643192489,2.3931666784484413,KOSPI,stocks_change_ge_20pct
000831,삼성물산(1신),1996-07-26,1995-12-27,20200,14400,9450000,6800000,0.7128712871287128,0.7195767195767195,KOSPI,stocks_change_ge_20pct
000835,삼성물산(1우),1996-02-09,1996-02-08,12000,12300,3598350,4496544,1.025,1.2496127391721206,KOSPI,stocks_change_ge_20pct
000880,한화,1996-01-03,1995-12-27,13000,12700,19747421,23747421,0.9769230769230769,1.2025580960673294,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
000881,한화(1신),1996-10-16,1995-12-27,11900,11600,4000000,5000000,0.9747899159663865,1.25,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
000901,강원산업(1신),1996-04-27,1996-03-26,11800,12900,5109,6441,1.0932203389830508,1.2607163828537875,KOSPI,stocks_change_ge_20pct
000901,강원산업(1신),1996-06-07,1996-05-14,13700,14000,6441,8439,1.0218978102189782,1.3102002794597112,KOSPI,stocks_change_ge_20pct
000901,강원산업(1신),1996-06-24,1996-06-19,14200,14000,8439,10438,0.9859154929577465,1.2368764071572462,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
001110,대농,1996-01-03,1995-12-27,6350,6230,10800000,14580000,0.9811023622047244,1.35,KOSPI,stocks_change_ge_20pct
001120,엘지상사,1996-01-03,1995-12-27,11600,11900,20160990,26660990,1.0258620689655173,1.3224048025419386,KOSPI,stocks_change_ge_20pct
001190,대유통상,1996-01-03,1995-12-27,21400,20200,1716000,2453880,0.9439252336448598,1.43,KOSPI,stocks_change_ge_20pct
001210,금호전기,1996-01-03,1995-12-27,38300,35500,2000000,2600000,0.9268929503916449,1.3,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
001300,제일모직,1996-01-03,1995-12-27,18100,18000,10800000,16200000,0.994475138121547,1.5,KOSPI,stocks_change_ge_20pct
001310,풍림산업,1996-01-03,1995-12-27,12400,12200,10894464,14000000,0.9838709677419355,1.2850563368698085,KOSPI,stocks_change_ge_20pct
001360,삼성제약,1996-01-03,1995-12-27,12100,11900,1296000,2073600,0.9834710743801653,1.6,KOSPI,stocks_change_ge_20pct
001370,코오롱상사,1996-01-03,1995-12-27,11600,11300,7111151,9544672,0.9741379310344828,1.3422119710297251,KOSPI,stocks_change_ge_20pct
001371,코오롱상사(1신),1996-12-24,1995-12-23,12300,7150,2433521,5000000,0.5813008130081301,2.05463606026001,KOSPI,stocks_change_ge_20pct;price_ratio_le_0.6;price_inverse_to_stocks_ratio
001390,경기화학,1996-01-03,1995-12-27,11700,12400,4000000,5000000,1.0598290598290598,1.25,KOSPI,stocks_change_ge_20pct
001430,기아특수강,1996-01-03,1995-12-27,6000,5950,15967992,21967992,0.9916666666666667,1.3757516912583623,KOSPI,stocks_change_ge_20pct
001470,삼부토건,1996-01-03,1995-12-27,28600,29700,5433568,6600000,1.0384615384615385,1.2146714644962573,KOSPI,stocks_change_ge_20pct
001525,동양시멘트(1우),1996-09-04,1996-09-03,8200,8470,5173013,6231832,1.0329268292682927,1.2046812950209094,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
001680,세원,1996-01-03,1995-12-27,40000,38000,1710361,2565541,0.95,1.4999997076640545,KOSPI,stocks_change_ge_20pct
001685,세원(1우),1996-01-09,1995-12-22,27400,22000,142401,213601,0.8029197080291971,1.4999964887887023,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
001740,선경,1996-01-03,1995-12-27,18500,18600,15290350,18810350,1.0054054054054054,1.2302105576392954,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
001780,동양강철,1996-01-16,1996-01-15,28900,28300,672000,944160,0.9792387543252595,1.405,KOSPI,stocks_change_ge_20pct
001821,삼화콘덴서(1신),1996-11-21,1996-11-20,29100,28700,95595,138972,0.9862542955326461,1.4537580417385847,KOSPI,stocks_change_ge_20pct
001830,아남산업,1996-01-03,1995-12-27,17000,17200,11311421,15311421,1.011764705882353,1.3536248893927652,KOSPI,stocks_change_ge_20pct
001970,신성,1996-01-03,1995-12-27,11400,11200,6990171,8519812,0.9824561403508771,1.2188274077987507,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
002070,비비안,1996-10-04,1996-10-02,75900,71400,400000,600000,0.9407114624505929,1.5,KOSPI,stocks_change_ge_20pct
002180,삼익건설,1996-01-03,1995-12-27,4600,4500,9525277,12105277,0.9782608695652174,1.2708582648042677,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
002250,근화제약,1996-10-26,1996-09-21,3300,17400,1420290,268405,5.2727272727272725,0.18897901132867231,KOSPI,stocks_change_ge_20pct;price_ratio_ge_1.8;reverse_split_1_to_5_like;price_inverse_to_stocks_ratio
002255,근화제약(1우),1996-10-26,1996-09-21,1430,7570,579710,115699,5.293706293706293,0.19958082489520623,KOSPI,stocks_change_ge_20pct;price_ratio_ge_1.8;reverse_split_1_to_5_like;price_inverse_to_stocks_ratio
002300,한국제지,1996-01-03,1995-12-27,22000,21400,4000000,5000000,0.9727272727272728,1.25,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
002310,아세아제지,1996-01-03,1995-12-26,21200,21000,2200000,3000000,0.9905660377358491,1.3636363636363635,KOSPI,stocks_change_ge_20pct
002311,아세아제지(1신),1996-11-30,1995-12-27,19800,30800,800000,1400000,1.5555555555555556,1.75,KOSPI,stocks_change_ge_20pct
002360,신호유화,1996-07-03,1996-07-02,4860,4720,2400000,3600000,0.9711934156378601,1.5,KOSPI,stocks_change_ge_20pct
002410,범양건업,1996-01-03,1995-12-27,10200,10100,5259643,6933150,0.9901960784313726,1.3181788193609338,KOSPI,stocks_change_ge_20pct
