code,current_or_latest_name,first_date,last_date,trading_day_count,profile_path
000070,에스테크엠,1995-05-02,2026-06-22,7800,atlas/symbol_profiles/000/000070.json
012210,삼미금속,2023-05-16,2026-06-22,616,atlas/symbol_profiles/012/012210.json
041920,메디아나,2013-07-01,2026-06-22,3041,atlas/symbol_profiles/041/041920.json
044990,에이치엔에스하이텍,2015-12-10,2026-06-22,1927,atlas/symbol_profiles/044/044990.json
052960,태양3C,2023-01-26,2026-06-22,740,atlas/symbol_profiles/052/052960.json
058970,엠로,2016-05-04,2026-06-22,2305,atlas/symbol_profiles/058/058970.json
059120,아진엑스텍,2013-07-01,2026-06-22,3083,atlas/symbol_profiles/059/059120.json
059180,엔더블유시,2026-03-25,2026-06-22,29,atlas/symbol_profiles/059/059180.json
062580,인산가,2015-12-21,2018-08-23,376,atlas/symbol_profiles/062/062580.json
063760,이엘피,2015-04-29,2026-06-22,2685,atlas/symbol_profiles/063/063760.json
063840,닉스테크,2013-11-12,2016-03-24,360,atlas/symbol_profiles/063/063840.json
064850,에프앤가이드,2013-07-01,2026-06-22,2514,atlas/symbol_profiles/064/064850.json
065370,위세아이텍,2018-04-02,2026-06-22,1971,atlas/symbol_profiles/065/065370.json
066830,제노텍,2016-07-18,2026-06-18,2131,atlas/symbol_profiles/066/066830.json
067370,선바이오,2016-01-22,2026-06-22,2552,atlas/symbol_profiles/067/067370.json
076340,지에이이노더스,2015-05-18,2026-06-22,2208,atlas/symbol_profiles/076/076340.json
082220,프렉코,2014-04-11,2015-07-22,51,atlas/symbol_profiles/082/082220.json
084440,유비온,2014-01-21,2026-06-22,2682,atlas/symbol_profiles/084/084440.json
084650,랩지노믹스,2013-07-01,2026-06-22,3119,atlas/symbol_profiles/084/084650.json
085980,세화피앤씨,2013-09-25,2017-08-31,442,atlas/symbol_profiles/085/085980.json
086080,다이노나,2018-05-08,2021-10-27,855,atlas/symbol_profiles/086/086080.json
086220,광동헬스바이오,2015-07-09,2026-06-22,2261,atlas/symbol_profiles/086/086220.json
086460,큐러블,2013-07-01,2025-08-18,2233,atlas/symbol_profiles/086/086460.json
091270,유디피,2014-12-12,2018-04-17,699,atlas/symbol_profiles/091/091270.json
092590,럭스피아,2015-10-30,2026-06-22,2336,atlas/symbol_profiles/092/092590.json
092870,엑시콘,2014-12-24,2026-06-22,2811,atlas/symbol_profiles/092/092870.json
093510,엔지브이아이,2020-12-28,2026-06-19,963,atlas/symbol_profiles/093/093510.json
094360,칩스앤미디어,2013-10-29,2026-06-22,2876,atlas/symbol_profiles/094/094360.json
101360,에코앤드림,2013-07-01,2026-06-22,2566,atlas/symbol_profiles/101/101360.json
102950,아하,2022-11-30,2026-06-22,717,atlas/symbol_profiles/102/102950.json
103650,에이치앤아이,2013-12-26,2016-07-13,419,atlas/symbol_profiles/103/103650.json
