code,current_or_latest_name,first_date,last_date,trading_day_count,profile_path
000001,덕양에너젠,2026-01-30,2026-06-22,94,atlas/symbol_profiles/000/000001.json
000004,디비금융제14호스팩,2025-07-22,2026-06-22,223,atlas/symbol_profiles/000/000004.json
000007,인벤테라,2025-12-16,2026-06-22,124,atlas/symbol_profiles/000/000007.json
000008,에스엔시스,2025-08-19,2026-06-22,204,atlas/symbol_profiles/000/000008.json
000009,에임드바이오,2025-12-04,2026-06-22,132,atlas/symbol_profiles/000/000009.json
000010,보원케미칼,1995-05-02,2026-06-22,2605,atlas/symbol_profiles/000/000010.json
000011,액스비스,2026-03-09,2026-06-22,72,atlas/symbol_profiles/000/000011.json
000013,삼진식품,2025-12-22,2026-06-22,120,atlas/symbol_profiles/000/000013.json
000015,아로마티카,2025-11-17,2026-06-22,145,atlas/symbol_profiles/000/000015.json
000017,세미티에스,2026-06-10,2026-06-22,9,atlas/symbol_profiles/000/000017.json
000037,KB제32호스팩,2025-07-04,2026-06-22,235,atlas/symbol_profiles/000/000037.json
000041,엘에스스팩1호,1996-05-18,2026-06-22,258,atlas/symbol_profiles/000/000041.json
000044,삼성스팩10호,2025-08-21,2026-06-22,202,atlas/symbol_profiles/000/000044.json
000054,엔에이치스팩32호,2025-12-05,2026-06-22,131,atlas/symbol_profiles/000/000054.json
000068,비엔케이제3호스팩,2025-11-21,2026-06-22,141,atlas/symbol_profiles/000/000068.json
000071,삼성스팩11호,1995-12-12,2026-06-22,331,atlas/symbol_profiles/000/000071.json
000072,KB제33호스팩,2025-09-30,2026-06-22,174,atlas/symbol_profiles/000/000072.json
000082,카나프테라퓨틱스,2026-03-16,2026-06-22,67,atlas/symbol_profiles/000/000082.json
000088,메리츠제1호스팩,2016-10-19,2026-06-22,2372,atlas/symbol_profiles/000/000088.json
000091,신영스팩11호,1995-05-02,2026-06-22,391,atlas/symbol_profiles/000/000091.json
000093,미래에셋비전스팩8호,2025-11-27,2026-06-22,137,atlas/symbol_profiles/000/000093.json
000096,미래에셋비전스팩9호,2025-11-28,2026-06-22,136,atlas/symbol_profiles/000/000096.json
000097,미래에셋비전스팩10호,2025-12-23,2026-06-22,119,atlas/symbol_profiles/000/000097.json
000098,교보19호스팩,2025-12-12,2026-06-22,126,atlas/symbol_profiles/000/000098.json
000099,IBKS제25호스팩,2025-12-19,2026-06-22,121,atlas/symbol_profiles/000/000099.json
000101,하나36호스팩,1996-02-02,2026-06-22,345,atlas/symbol_profiles/000/000101.json
000105,유진스팩12호,1995-05-10,2026-06-22,6591,atlas/symbol_profiles/000/000105.json
000115,삼성스팩13호,2026-01-21,2026-06-22,101,atlas/symbol_profiles/000/000115.json
000117,피스피스스튜디오,2026-06-08,2026-06-22,11,atlas/symbol_profiles/000/000117.json
000129,신한제18호스팩,2026-04-30,2026-06-22,34,atlas/symbol_profiles/000/000129.json
000130,신한제17호스팩,1995-05-02,2026-06-22,1094,atlas/symbol_profiles/000/000130.json
000131,키움히어로제2호스팩,2026-04-23,2026-06-22,39,atlas/symbol_profiles/000/000131.json
000132,교보20호스팩,2026-04-02,2026-06-22,54,atlas/symbol_profiles/000/000132.json
000134,대신밸런스제20호스팩,2026-06-05,2026-06-22,12,atlas/symbol_profiles/000/000134.json
000165,메리츠제2호스팩,2026-06-19,2026-06-22,2,atlas/symbol_profiles/000/000165.json
000250,삼천당제약,2000-10-04,2026-06-22,6339,atlas/symbol_profiles/000/000250.json
000380,대아건설,1996-07-03,2004-09-16,1502,atlas/symbol_profiles/000/000380.json
000440,중앙에너비스,1996-07-03,2026-06-22,6807,atlas/symbol_profiles/000/000440.json
000530,대한제지,1996-07-05,1997-07-05,29,atlas/symbol_profiles/000/000530.json
000550,삼덕제지,1996-07-30,1997-06-27,26,atlas/symbol_profiles/000/000550.json
000600,삼화실업,1996-10-09,1996-10-09,1,atlas/symbol_profiles/000/000600.json
000870,전진산업,1996-07-31,1998-06-26,39,atlas/symbol_profiles/000/000870.json
001000,신라섬유,1996-07-30,2026-06-22,6695,atlas/symbol_profiles/001/001000.json
001540,안국약품,2000-06-15,2026-06-22,6412,atlas/symbol_profiles/001/001540.json
001810,무림SP,2000-01-04,2026-06-22,6509,atlas/symbol_profiles/001/001810.json
001840,이화공영,1996-07-30,2025-04-01,6423,atlas/symbol_profiles/001/001840.json
001850,임광토건,1996-07-05,2000-06-05,230,atlas/symbol_profiles/001/001850.json
001910,영일화학공업,1996-07-01,1996-12-27,0,atlas/symbol_profiles/001/001910.json
001990,자유건설,1996-07-30,1999-10-29,106,atlas/symbol_profiles/001/001990.json
002190,우주종합건설,1996-07-09,1997-10-30,23,atlas/symbol_profiles/002/002190.json
002230,피에스텍,1996-07-27,2026-06-22,6859,atlas/symbol_profiles/002/002230.json
002290,삼일기업공사,1996-07-26,2026-06-22,6659,atlas/symbol_profiles/002/002290.json
002480,범양사,1996-07-26,2005-05-03,1497,atlas/symbol_profiles/002/002480.json
002670,미주제강,1996-11-30,2012-04-16,3090,atlas/symbol_profiles/002/002670.json
002671,미주제강1신,1996-07-25,1996-10-11,4,atlas/symbol_profiles/002/002671.json
002680,한탑,1996-07-30,2026-06-18,6702,atlas/symbol_profiles/002/002680.json
002750,피죤,1996-10-12,1996-10-15,2,atlas/symbol_profiles/002/002750.json
002800,신신제약,2017-02-28,2026-06-22,2281,atlas/symbol_profiles/002/002800.json
002830,삼능건설,1996-07-26,1998-03-25,41,atlas/symbol_profiles/002/002830.json
003100,선광,1999-12-21,2026-06-22,6527,atlas/symbol_profiles/003/003100.json
003160,디아이,1996-07-01,2026-06-22,7485,atlas/symbol_profiles/003/003160.json
003220,대원제약,1996-07-24,2026-06-22,6694,atlas/symbol_profiles/003/003220.json
003310,대주산업,1996-07-31,2026-06-22,6564,atlas/symbol_profiles/003/003310.json
003380,하림지주,1996-07-30,2026-06-22,2309,atlas/symbol_profiles/003/003380.json
003430,유진화학,1996-07-24,2000-06-05,376,atlas/symbol_profiles/003/003430.json
003481,해성산업1우,1996-04-26,2026-06-22,1312,atlas/symbol_profiles/003/003481.json
003670,포스코퓨처엠,2001-11-01,2026-06-22,6066,atlas/symbol_profiles/003/003670.json
003700,비락,1996-09-11,1997-07-08,63,atlas/symbol_profiles/003/003700.json
003701,비락1신,1996-07-29,1996-12-27,41,atlas/symbol_profiles/003/003701.json
003800,에이스침대,1996-07-23,2026-06-22,6922,atlas/symbol_profiles/003/003800.json
003860,성담,1996-07-18,1999-10-29,341,atlas/symbol_profiles/003/003860.json
