code,current_or_latest_name,first_date,last_date,trading_day_count,profile_path
000010,제이피아이헬스케어,1995-05-02,2026-02-20,2544,atlas/symbol_profiles/000/000010.json
000020,동화약품,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000020.json
000021,동화약품(1신),1995-06-30,1996-03-28,220,atlas/symbol_profiles/000/000021.json
000030,대신밸류리츠,1995-05-02,2026-02-20,3075,atlas/symbol_profiles/000/000030.json
000040,KR모터스,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000040.json
000041,하나35호스팩,1996-05-02,2026-02-20,338,atlas/symbol_profiles/000/000041.json
000042,효성기계(2신),1996-10-22,1996-12-27,56,atlas/symbol_profiles/000/000042.json
000050,경방,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000050.json
000060,메리츠화재,1995-05-02,2023-02-20,7035,atlas/symbol_profiles/000/000060.json
000070,삼양홀딩스,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000070.json
000071,삼성스팩11호,1995-12-12,2026-02-20,250,atlas/symbol_profiles/000/000071.json
000075,삼양홀딩스우,1995-05-02,2025-08-19,7643,atlas/symbol_profiles/000/000075.json
000076,삼양사(1우1신),1995-12-12,1996-06-27,157,atlas/symbol_profiles/000/000076.json
000080,하이트진로,1995-05-02,2026-02-20,6084,atlas/symbol_profiles/000/000080.json
000081,진로(1신),1996-02-06,1996-09-24,189,atlas/symbol_profiles/000/000081.json
000085,진로(1우),1995-05-02,2003-01-09,2060,atlas/symbol_profiles/000/000085.json
000086,진로(1우1신),1996-02-06,1996-09-24,189,atlas/symbol_profiles/000/000086.json
000087,하이트진로2우B,2011-09-26,2026-02-20,3541,atlas/symbol_profiles/000/000087.json
000088,한화3우B,2016-10-19,2026-02-20,2291,atlas/symbol_profiles/000/000088.json
000090,두산상사,1995-05-02,1998-10-08,1009,atlas/symbol_profiles/000/000090.json
000091,신영스팩11호,1995-05-02,2026-02-20,379,atlas/symbol_profiles/000/000091.json
000092,유 니 온(2신),1996-07-03,1996-11-30,123,atlas/symbol_profiles/000/000092.json
000100,유한양행,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000100.json
000101,하나36호스팩,1996-02-02,2026-02-20,306,atlas/symbol_profiles/000/000101.json
000102,유한양행(2신),1996-04-30,1996-12-27,197,atlas/symbol_profiles/000/000102.json
000104,CJ4우(전환),2019-08-09,2026-02-20,1602,atlas/symbol_profiles/000/000104.json
000105,유한양행우,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000105.json
000106,유한양행(1우1신),1996-04-30,1996-12-27,197,atlas/symbol_profiles/000/000106.json
000107,유한양행(2우B),1999-01-29,2004-01-07,1212,atlas/symbol_profiles/000/000107.json
000110,제일은행,1995-05-02,2005-04-21,2624,atlas/symbol_profiles/000/000110.json
000120,CJ대한통운,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000120.json
000121,대한통운(1신),1995-05-02,1995-12-27,197,atlas/symbol_profiles/000/000121.json
000126,삼성에피스홀딩스,2025-11-24,2026-02-20,59,atlas/symbol_profiles/000/000126.json
000130,한일은행,1995-05-02,1999-01-08,1079,atlas/symbol_profiles/000/000130.json
000140,하이트진로홀딩스,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000140.json
000141,조선맥주(1신),1995-08-08,1995-12-27,117,atlas/symbol_profiles/000/000141.json
000145,하이트진로홀딩스우,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000145.json
000146,조선맥주(우선신),1995-08-08,1995-12-27,117,atlas/symbol_profiles/000/000146.json
000147,하이트맥주(2우B),1998-08-17,2001-07-23,735,atlas/symbol_profiles/000/000147.json
000149,하이트맥주(3우B),2000-01-11,2002-05-20,575,atlas/symbol_profiles/000/000149.json
000150,두산,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000150.json
000155,두산우,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000155.json
000157,두산2우B,1999-12-03,2026-02-20,6460,atlas/symbol_profiles/000/000157.json
000160,대한중석,1995-05-02,1999-10-26,1278,atlas/symbol_profiles/000/000160.json
000161,대한중석(1신),1995-05-08,1997-12-27,588,atlas/symbol_profiles/000/000161.json
000162,대한중석(2신),1995-06-10,1995-12-27,165,atlas/symbol_profiles/000/000162.json
000170,LG금속,1995-05-02,1999-04-07,1137,atlas/symbol_profiles/000/000170.json
000180,성창기업지주,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000180.json
000200,대우중공업,1995-05-02,2001-05-22,1659,atlas/symbol_profiles/000/000200.json
000205,대우중공업(1우),1995-05-02,2001-05-22,1659,atlas/symbol_profiles/000/000205.json
000210,DL,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000210.json
000211,대림산업(1신),1995-08-08,1995-12-27,117,atlas/symbol_profiles/000/000211.json
000215,DL우,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000215.json
000220,유유제약,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000220.json
000225,유유제약1우,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000225.json
000227,유유제약2우B,2000-06-20,2026-02-20,6330,atlas/symbol_profiles/000/000227.json
000230,일동홀딩스,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000230.json
000231,일동제약(1신),1996-09-11,1997-03-28,157,atlas/symbol_profiles/000/000231.json
000240,한국앤컴퍼니,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000240.json
000241,한국타이어(1신),1996-02-10,1996-12-27,260,atlas/symbol_profiles/000/000241.json
000242,한국타이어(2신),1996-04-06,1996-12-27,216,atlas/symbol_profiles/000/000242.json
000270,기아,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000270.json
000279,아모레퍼시픽홀딩스3우C,2019-12-26,2026-02-20,1509,atlas/symbol_profiles/000/000279.json
000280,동아건설,1995-05-02,2001-06-05,1669,atlas/symbol_profiles/000/000280.json
000281,동아건설(1신),1996-03-25,1996-12-27,226,atlas/symbol_profiles/000/000281.json
000282,동아건설(2신),1996-09-09,1996-12-27,89,atlas/symbol_profiles/000/000282.json
000300,DH오토넥스,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000300.json
000301,두레에어(1신),1996-12-13,1998-03-28,207,atlas/symbol_profiles/000/000301.json
000305,삼선공업(1우),1995-05-02,1997-10-22,727,atlas/symbol_profiles/000/000305.json
000306,삼선공업(1우1신),1996-12-13,1997-03-28,82,atlas/symbol_profiles/000/000306.json
000310,해태제과,1995-05-02,2001-11-09,1776,atlas/symbol_profiles/000/000310.json
000311,해태제과(1신),1995-05-02,1995-06-28,47,atlas/symbol_profiles/000/000311.json
000315,해태제과(1우),1995-05-02,2001-11-09,1776,atlas/symbol_profiles/000/000315.json
000317,해태제과(2우B),2000-01-11,2001-11-09,448,atlas/symbol_profiles/000/000317.json
000320,노루홀딩스,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000320.json
000321,대한페인트(1신),1995-07-05,1995-12-27,145,atlas/symbol_profiles/000/000321.json
000325,노루홀딩스우,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000325.json
000327,노루홀딩스2우B,2007-09-28,2017-09-27,2481,atlas/symbol_profiles/000/000327.json
000330,두산백화,1995-05-02,1998-10-08,1009,atlas/symbol_profiles/000/000330.json
000331,두산백화(1신),1996-06-18,1996-12-27,158,atlas/symbol_profiles/000/000331.json
000341,쌍용양회4우B,2000-05-29,2014-01-10,3374,atlas/symbol_profiles/000/000341.json
000360,삼환기업,1995-05-02,2015-04-14,5102,atlas/symbol_profiles/000/000360.json
000365,삼환기업우,1995-05-02,2015-04-14,5102,atlas/symbol_profiles/000/000365.json
000370,한화손해보험,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000370.json
000390,삼화페인트,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000390.json
000400,롯데손해보험,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000400.json
000420,로케트전기,1995-05-02,2015-02-23,5066,atlas/symbol_profiles/000/000420.json
000425,로케트전우,1995-05-02,2015-02-23,5066,atlas/symbol_profiles/000/000425.json
000430,대원강업,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000430.json
000431,대원강업(1신),1995-12-13,1995-12-27,12,atlas/symbol_profiles/000/000431.json
000450,한주통산,1995-05-02,1998-11-17,1043,atlas/symbol_profiles/000/000450.json
000451,한주통산(1신),1995-09-07,1995-12-27,92,atlas/symbol_profiles/000/000451.json
000470,그린손해보험,1995-05-02,2012-07-13,4425,atlas/symbol_profiles/000/000470.json
000475,국제화재(1우),1995-05-02,2002-02-07,1837,atlas/symbol_profiles/000/000475.json
000480,CR홀딩스,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000480.json
000481,조선내화(1신),1996-08-07,1996-12-27,116,atlas/symbol_profiles/000/000481.json
000490,대동,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000490.json
000499,롯데지주우,2017-10-30,2026-02-20,2039,atlas/symbol_profiles/000/000499.json
000500,가온전선,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000500.json
000501,희성전선(1신),1996-11-30,1996-12-27,23,atlas/symbol_profiles/000/000501.json
000510,태    화,1995-05-02,1999-05-24,1169,atlas/symbol_profiles/000/000510.json
000520,삼일제약,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000520.json
000540,흥국화재,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000540.json
000545,흥국화재우,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000545.json
000547,흥국화재2우B,1999-08-09,2023-07-14,5911,atlas/symbol_profiles/000/000547.json
000570,금호건설,1995-05-02,1999-03-19,1125,atlas/symbol_profiles/000/000570.json
000575,금호건설(1우),1995-05-02,1999-03-19,1125,atlas/symbol_profiles/000/000575.json
000590,CS홀딩스,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000590.json
000610,제일화재,1995-05-02,2010-01-19,3805,atlas/symbol_profiles/000/000610.json
000640,동아쏘시오홀딩스,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000640.json
000650,천일고속,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000650.json
000660,SK하이닉스,1996-12-26,2026-02-20,7277,atlas/symbol_profiles/000/000660.json
000661,현대전자(1신),1996-12-26,1996-12-27,2,atlas/symbol_profiles/000/000661.json
000670,영풍,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000670.json
000680,미래에셋증권2우B,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000680.json
000681,국제상사(1신),1995-10-21,1995-12-27,57,atlas/symbol_profiles/000/000681.json
000682,국제상사(2신),1995-12-21,1995-12-27,5,atlas/symbol_profiles/000/000682.json
000685,LS네트웍스우,1995-05-02,2014-07-14,4918,atlas/symbol_profiles/000/000685.json
000687,LS네트웍스전환상환2우B,2010-12-01,2015-11-25,1234,atlas/symbol_profiles/000/000687.json
000700,유수홀딩스,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000700.json
000720,현대건설,1995-05-02,2026-02-20,7765,atlas/symbol_profiles/000/000720.json
000721,현대건설(1신),1995-10-14,1996-12-27,129,atlas/symbol_profiles/000/000721.json
