name,code,current_or_latest_name,first_date,last_date,markets,profile_path
덕양에너젠,000001,덕양에너젠,2026-01-30,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000001.json
디비금융제14호스팩,000004,디비금융제14호스팩,2025-07-22,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000004.json
엔비알모션,000004,디비금융제14호스팩,2026-01-14,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000004.json
아크릴,000007,아크릴,2025-12-16,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000007.json
에스엔시스,000008,에스엔시스,2025-08-19,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000008.json
에임드바이오,000009,에임드바이오,2025-12-04,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000009.json
제이피아이헬스케어,000010,제이피아이헬스케어,2025-08-21,2026-02-20,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000010.json
조흥은행,000010,제이피아이헬스케어,1995-05-02,2004-07-01,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000010.json
삼진식품,000013,삼진식품,2025-12-22,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000013.json
그린광학,000015,아로마티카,2025-11-17,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000015.json
아로마티카,000015,아로마티카,2025-11-27,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000015.json
페스카로,000015,아로마티카,2025-12-10,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000015.json
동화약품,000020,동화약품,1995-05-02,2026-02-20,KOSPI,atlas/symbol_profiles/000/000020.json
동화약품(1신),000021,동화약품(1신),1995-06-30,1996-03-28,KOSPI,atlas/symbol_profiles/000/000021.json
대신밸류리츠,000030,대신밸류리츠,2025-07-10,2026-02-20,KOSPI,atlas/symbol_profiles/000/000030.json
상업은행,000030,대신밸류리츠,1995-05-02,1999-01-08,KOSPI,atlas/symbol_profiles/000/000030.json
우리은행,000030,대신밸류리츠,2014-11-19,2019-02-12,KOSPI,atlas/symbol_profiles/000/000030.json
한빛은행,000030,대신밸류리츠,1999-01-11,2002-04-26,KOSPI,atlas/symbol_profiles/000/000030.json
KB제32호스팩,000037,KB제32호스팩,2025-07-04,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000037.json
KR모터스,000040,KR모터스,2014-04-18,2026-02-20,KOSPI,atlas/symbol_profiles/000/000040.json
S&T모터스,000040,KR모터스,2007-04-18,2014-04-17,KOSPI,atlas/symbol_profiles/000/000040.json
대전피혁,000040,KR모터스,1995-05-02,1996-04-30,KOSPI,atlas/symbol_profiles/000/000040.json
효성기계,000040,KR모터스,1996-11-25,2007-04-17,KOSPI,atlas/symbol_profiles/000/000040.json
효성기계공업,000040,KR모터스,1996-05-02,1996-11-22,KOSPI,atlas/symbol_profiles/000/000040.json
교보18호스팩,000041,엘에스스팩1호,2025-08-14,2026-02-20,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000041.json
엘에스스팩1호,000041,엘에스스팩1호,2025-07-22,2026-02-20,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000041.json
하나35호스팩,000041,엘에스스팩1호,2025-08-06,2026-02-20,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000041.json
효성기계(1신),000041,엘에스스팩1호,1996-11-25,1996-12-27,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000041.json
효성기계공업(1신),000041,엘에스스팩1호,1996-05-02,1996-11-22,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000041.json
효성기계(2신),000042,효성기계(2신),1996-11-25,1996-12-27,KOSPI,atlas/symbol_profiles/000/000042.json
효성기계공업(2신),000042,효성기계(2신),1996-10-22,1996-11-22,KOSPI,atlas/symbol_profiles/000/000042.json
삼성스팩10호,000044,삼성스팩10호,2025-08-21,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000044.json
