d,o,h,l,c,v,a,mc,s,m
2015-06-22,2055.0,2360.0,2055.0,2360.0,11.0,22910.0,4247952800.0,1799980,KONEX
2015-06-23,2010.0,2010.0,2010.0,2010.0,1.0,2010.0,3617959800.0,1799980,KONEX
2015-06-24,0.0,2010.0,0.0,2010.0,0.0,0.0,3617959800.0,1799980,KONEX
2015-06-25,0.0,2010.0,0.0,2010.0,0.0,0.0,3617959800.0,1799980,KONEX
2015-06-26,0.0,2010.0,0.0,2010.0,0.0,0.0,3617959800.0,1799980,KONEX
2015-06-29,0.0,2010.0,0.0,2010.0,0.0,0.0,3617959800.0,1799980,KONEX
2015-06-30,0.0,2010.0,0.0,2010.0,0.0,0.0,3617959800.0,1799980,KONEX
2015-07-01,0.0,2010.0,0.0,2010.0,0.0,0.0,3617959800.0,1799980,KONEX
2015-07-02,2100.0,2100.0,2100.0,2100.0,1.0,2100.0,3779958000.0,1799980,KONEX
2015-07-03,0.0,2110.0,0.0,2110.0,0.0,0.0,3797957800.0,1799980,KONEX
2015-07-06,0.0,2110.0,0.0,2110.0,0.0,0.0,3797957800.0,1799980,KONEX
2015-07-07,0.0,2110.0,0.0,2110.0,0.0,0.0,3797957800.0,1799980,KONEX
2015-07-08,0.0,2110.0,0.0,2110.0,0.0,0.0,3797957800.0,1799980,KONEX
2015-07-09,2300.0,2300.0,2300.0,2300.0,1.0,2300.0,4139954000.0,1799980,KONEX
2015-07-10,0.0,2300.0,0.0,2300.0,0.0,0.0,4139954000.0,1799980,KONEX
2015-07-13,2360.0,2640.0,2360.0,2640.0,13125.0,32550000.0,4751947200.0,1799980,KONEX
2015-07-14,3035.0,3035.0,3035.0,3035.0,98.0,297430.0,5462939300.0,1799980,KONEX
2015-07-15,3490.0,3490.0,3490.0,3490.0,70400.0,225396000.0,6281930200.0,1799980,KONEX
2015-07-16,4010.0,4010.0,4010.0,4010.0,5908.0,23691080.0,7217919800.0,1799980,KONEX
2015-07-17,4500.0,4610.0,4500.0,4610.0,13883.0,62791120.0,8297907800.0,1799980,KONEX
2015-07-20,5000.0,5000.0,5000.0,5000.0,200.0,1000000.0,8999900000.0,1799980,KONEX
2015-07-21,4260.0,4800.0,4260.0,4800.0,809.0,3877800.0,8639904000.0,1799980,KONEX
2015-07-22,4095.0,4500.0,4095.0,4500.0,310.0,1354430.0,8099910000.0,1799980,KONEX
2015-07-23,4200.0,4500.0,4200.0,4500.0,1520.0,6389900.0,8099910000.0,1799980,KONEX
2015-07-24,4500.0,4500.0,4280.0,4280.0,500.0,2184000.0,7703914400.0,1799980,KONEX
2015-07-27,4070.0,4290.0,4070.0,4290.0,301.0,1225290.0,7721914200.0,1799980,KONEX
2015-07-28,4290.0,4290.0,4100.0,4100.0,528.0,2172020.0,7379918000.0,1799980,KONEX
2015-07-29,3900.0,3900.0,3900.0,3900.0,300.0,1170000.0,7019922000.0,1799980,KONEX
2015-07-30,3710.0,3710.0,3710.0,3710.0,300.0,1113000.0,6677925800.0,1799980,KONEX
2015-07-31,3530.0,3730.0,3530.0,3730.0,310.0,1096300.0,6713925400.0,1799980,KONEX
2015-08-03,3750.0,3750.0,3750.0,3750.0,300.0,1125000.0,6749925000.0,1799980,KONEX
2015-08-04,0.0,3750.0,0.0,3750.0,0.0,0.0,6749925000.0,1799980,KONEX
2015-08-05,3770.0,3770.0,3770.0,3770.0,300.0,1131000.0,6785924600.0,1799980,KONEX
