d,o,h,l,c,v,a,mc,s,m,rs
2009-01-02,2270.0,2380.0,2250.0,2370.0,68269.0,159401615.0,31284000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-05,2430.0,2430.0,2280.0,2300.0,83626.0,194530620.0,30360000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-06,2300.0,2370.0,2280.0,2365.0,96591.0,226062460.0,31218000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-07,2365.0,2710.0,2360.0,2640.0,605563.0,1569774055.0,34848000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-08,2600.0,2670.0,2565.0,2630.0,245408.0,639299535.0,34716000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-09,2675.0,3020.0,2645.0,3020.0,823003.0,2392417215.0,39864000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-12,3050.0,3400.0,3030.0,3070.0,1034626.0,3309423775.0,40524000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-13,3095.0,3165.0,2870.0,3060.0,490810.0,1472665285.0,40392000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-14,3105.0,3230.0,3010.0,3160.0,386017.0,1212046400.0,41712000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-15,3005.0,3090.0,2900.0,2900.0,306300.0,922574460.0,38280000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-16,2940.0,3030.0,2930.0,3020.0,214347.0,639409570.0,39864000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-19,3105.0,3470.0,3105.0,3300.0,696314.0,2337991550.0,43560000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-20,3365.0,3365.0,3150.0,3265.0,177504.0,574775170.0,43098000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-21,2960.0,3180.0,2960.0,3080.0,183776.0,566013750.0,40656000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-22,3200.0,3330.0,3100.0,3330.0,307373.0,981968555.0,43956000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-23,3300.0,3640.0,3280.0,3445.0,706335.0,2463943465.0,45474000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-28,3545.0,3625.0,3440.0,3560.0,311474.0,1097876740.0,46992000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-29,3710.0,3955.0,3430.0,3500.0,1296098.0,4861685770.0,46200000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-01-30,3490.0,3580.0,3360.0,3480.0,265854.0,929215590.0,45936000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-02-02,3480.0,3560.0,3370.0,3420.0,213096.0,741261730.0,45144000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-02-03,3450.0,3560.0,3400.0,3540.0,269041.0,933094745.0,46728000000.0,13200000,KOSDAQ,tradable_ohlcv
2009-02-04,3640.0,4050.0,3580.0,4010.0,968060.0,3743363565.0,52932000000.0,13200000,KOSDAQ,tradable_ohlcv
