d,o,h,l,c,v,a,mc,s,m
2018-01-02,240.0,240.0,202.0,240.0,15.0,3562.0,417012960.0,1737554,KONEX
2018-01-03,232.0,276.0,205.0,276.0,5056.0,1175243.0,479564904.0,1737554,KONEX
2018-01-04,267.0,299.0,235.0,235.0,16804.0,4122061.0,408325190.0,1737554,KONEX
2018-01-05,227.0,260.0,227.0,260.0,5010.0,1137600.0,451764040.0,1737554,KONEX
2018-01-08,239.0,239.0,222.0,235.0,5101.0,1218722.0,408325190.0,1737554,KONEX
2018-01-09,270.0,270.0,227.0,227.0,3016.0,685566.0,394424758.0,1737554,KONEX
2018-01-10,260.0,260.0,260.0,260.0,10.0,2600.0,451764040.0,1737554,KONEX
2018-01-11,249.0,249.0,221.0,221.0,3.0,691.0,383999434.0,1737554,KONEX
2018-01-12,227.0,227.0,226.0,226.0,20.0,4530.0,392687204.0,1737554,KONEX
2018-01-15,232.0,232.0,195.0,196.0,44.0,9055.0,340560584.0,1737554,KONEX
2018-01-16,201.0,223.0,172.0,220.0,5434.0,1096630.0,382261880.0,1737554,KONEX
2018-01-17,187.0,220.0,187.0,220.0,80.0,17037.0,382261880.0,1737554,KONEX
2018-01-18,187.0,224.0,187.0,191.0,2110.0,395340.0,331872814.0,1737554,KONEX
2018-01-19,196.0,216.0,163.0,215.0,5393.0,1058588.0,373574110.0,1737554,KONEX
2018-01-22,220.0,220.0,183.0,184.0,143.0,26743.0,319709936.0,1737554,KONEX
2018-01-23,189.0,211.0,157.0,160.0,5634.0,1061038.0,278008640.0,1737554,KONEX
2018-01-24,184.0,184.0,184.0,184.0,1.0,184.0,319709936.0,1737554,KONEX
2018-01-25,211.0,211.0,178.0,211.0,5257.0,1109058.0,366623894.0,1737554,KONEX
2018-01-26,242.0,242.0,215.0,215.0,226.0,51887.0,373574110.0,1737554,KONEX
2018-01-29,247.0,247.0,208.0,241.0,5.0,1178.0,418750514.0,1737554,KONEX
2018-01-30,233.0,246.0,233.0,241.0,5002.0,1165487.0,418750514.0,1737554,KONEX
2018-01-31,277.0,277.0,235.0,235.0,9153.0,2193131.0,408325190.0,1737554,KONEX
2018-02-01,227.0,238.0,201.0,202.0,5007.0,1136583.0,350985908.0,1737554,KONEX
2018-02-02,206.0,228.0,206.0,228.0,5853.0,1213408.0,396162312.0,1737554,KONEX
2018-02-05,221.0,262.0,195.0,255.0,17726.0,4298877.0,443076270.0,1737554,KONEX
2018-02-06,247.0,261.0,244.0,250.0,5533.0,1365610.0,434388500.0,1737554,KONEX
2018-02-07,242.0,242.0,242.0,242.0,4998.0,1209516.0,420488068.0,1737554,KONEX
2018-02-08,234.0,234.0,207.0,208.0,5003.0,1170649.0,361411232.0,1737554,KONEX
2018-02-09,213.0,239.0,213.0,239.0,5001.0,1065239.0,415275406.0,1737554,KONEX
2018-02-12,231.0,244.0,231.0,244.0,5001.0,1155244.0,423963176.0,1737554,KONEX
2018-02-13,236.0,236.0,209.0,209.0,5001.0,1180209.0,363148786.0,1737554,KONEX
2018-02-14,216.0,240.0,216.0,237.0,5133.0,1111233.0,411800298.0,1737554,KONEX
2018-02-19,229.0,239.0,210.0,238.0,5008.0,1146849.0,413537852.0,1737554,KONEX
2018-02-20,230.0,240.0,230.0,239.0,4964.0,1141739.0,415275406.0,1737554,KONEX
2018-02-21,243.0,243.0,231.0,243.0,4907.0,1133601.0,422225622.0,1737554,KONEX
2018-02-22,235.0,244.0,220.0,220.0,5923.0,1378104.0,382261880.0,1737554,KONEX
2018-02-23,221.0,221.0,221.0,221.0,1.0,221.0,383999434.0,1737554,KONEX
2018-02-26,210.0,240.0,210.0,236.0,108.0,25440.0,410062744.0,1737554,KONEX
2018-02-27,210.0,235.0,210.0,235.0,2.0,445.0,408325190.0,1737554,KONEX
2018-02-28,210.0,235.0,210.0,235.0,13.0,3005.0,408325190.0,1737554,KONEX
2018-03-02,210.0,230.0,210.0,230.0,17.0,3860.0,399637420.0,1737554,KONEX
2018-03-05,210.0,229.0,210.0,229.0,5.0,1107.0,397899866.0,1737554,KONEX
2018-03-06,197.0,197.0,197.0,197.0,11.0,2167.0,342298138.0,1737554,KONEX
2018-03-07,190.0,226.0,180.0,180.0,26.0,5375.0,312759720.0,1737554,KONEX
2018-03-08,170.0,170.0,160.0,160.0,11.0,1820.0,278008640.0,1737554,KONEX
2018-03-09,160.0,184.0,141.0,170.0,55024.0,9314079.0,295384180.0,1737554,KONEX
2018-03-12,170.0,170.0,150.0,150.0,4373.0,743340.0,260633100.0,1737554,KONEX
2018-03-13,172.0,172.0,160.0,160.0,7006.0,1205020.0,278008640.0,1737554,KONEX
2018-03-14,183.0,183.0,136.0,183.0,4765.0,870985.0,317972382.0,1737554,KONEX
2018-03-15,160.0,208.0,160.0,208.0,40.0,7380.0,361411232.0,1737554,KONEX
2018-03-16,180.0,210.0,180.0,210.0,7013.0,1423430.0,364886340.0,1737554,KONEX
2018-03-19,201.0,213.0,180.0,213.0,7302.0,1494951.0,370099002.0,1737554,KONEX
2018-03-20,214.0,214.0,200.0,200.0,3.0,627.0,347510800.0,1737554,KONEX
2018-03-21,195.0,206.0,195.0,206.0,7001.0,1365206.0,357936124.0,1737554,KONEX
2018-03-22,197.0,208.0,197.0,208.0,7012.0,1381496.0,361411232.0,1737554,KONEX
2018-03-23,212.0,212.0,180.0,190.0,22.0,4312.0,330135260.0,1737554,KONEX
2018-03-26,162.0,190.0,162.0,190.0,301.0,48790.0,330135260.0,1737554,KONEX
2018-03-27,162.0,189.0,162.0,189.0,2100.0,342900.0,328397706.0,1737554,KONEX
2018-03-28,200.0,214.0,180.0,198.0,31.0,6104.0,344035692.0,1737554,KONEX
2018-03-29,190.0,190.0,190.0,190.0,1.0,190.0,330135260.0,1737554,KONEX
2018-03-30,162.0,162.0,162.0,162.0,5.0,810.0,281483748.0,1737554,KONEX
2018-04-02,140.0,140.0,140.0,140.0,5.0,700.0,243257560.0,1737554,KONEX
2018-04-03,150.0,150.0,140.0,140.0,6.0,890.0,243257560.0,1737554,KONEX
2018-04-06,140.0,159.0,130.0,130.0,18.0,2664.0,225882020.0,1737554,KONEX
2018-04-09,130.0,130.0,130.0,130.0,10.0,1300.0,225882020.0,1737554,KONEX
2018-04-10,120.0,130.0,111.0,111.0,21.0,2516.0,192868494.0,1737554,KONEX
2018-04-11,110.0,110.0,110.0,110.0,5.0,550.0,191130940.0,1737554,KONEX
2018-04-12,100.0,101.0,94.0,101.0,12499.0,1237880.0,175492954.0,1737554,KONEX
2018-04-13,90.0,90.0,86.0,86.0,3416.0,293796.0,149429644.0,1737554,KONEX
2018-04-16,80.0,86.0,75.0,75.0,19.0,1593.0,130316550.0,1737554,KONEX
2018-04-17,65.0,75.0,64.0,64.0,4111.0,264775.0,111203456.0,1737554,KONEX
2018-04-18,55.0,73.0,55.0,73.0,24375.0,1669303.0,126841442.0,1737554,KONEX
2018-04-19,72.0,72.0,72.0,72.0,3174.0,228528.0,125103888.0,1737554,KONEX
2018-04-23,75.0,75.0,75.0,75.0,1.0,75.0,130316550.0,1737554,KONEX
2018-04-24,72.0,76.0,72.0,76.0,2281.0,164236.0,132054104.0,1737554,KONEX
2018-04-25,74.0,75.0,74.0,75.0,4088.0,302513.0,130316550.0,1737554,KONEX
2018-04-26,72.0,72.0,72.0,72.0,1.0,72.0,125103888.0,1737554,KONEX
2018-04-27,70.0,74.0,70.0,70.0,92.0,6800.0,121628780.0,1737554,KONEX
2018-04-30,72.0,80.0,68.0,80.0,17002.0,1224148.0,139004320.0,1737554,KONEX
2018-05-02,79.0,81.0,70.0,81.0,13104.0,1035402.0,140741874.0,1737554,KONEX
2018-05-03,78.0,93.0,78.0,78.0,30101.0,2417378.0,135529212.0,1737554,KONEX
2018-05-04,79.0,89.0,79.0,89.0,17697.0,1405033.0,154642306.0,1737554,KONEX
2018-05-08,90.0,102.0,86.0,90.0,20548.0,1782560.0,156379860.0,1737554,KONEX
2018-05-09,103.0,103.0,91.0,103.0,16006.0,1456618.0,178968062.0,1737554,KONEX
2018-05-10,100.0,104.0,89.0,89.0,10034.0,1003405.0,154642306.0,1737554,KONEX
2018-05-11,90.0,102.0,77.0,77.0,11042.0,993631.0,133791658.0,1737554,KONEX
2018-05-14,88.0,88.0,88.0,88.0,18094.0,1592272.0,152904752.0,1737554,KONEX
2018-05-15,100.0,101.0,99.0,101.0,2996.0,299604.0,175492954.0,1737554,KONEX
2018-05-16,116.0,116.0,116.0,116.0,1001.0,116116.0,201556264.0,1737554,KONEX
