snapshot_date,previous_market_trade_date,code,name,name_resolution_status,name_candidates,market,prev_symbol_trade_date,days_since_prev_symbol_trade,prev_close,open,high,low,close,volume,amount,market_cap,listed_shares,open_gap_pct,high_return_pct,low_return_pct,close_return_pct,turnover_pct,return_3d_pct,return_5d_pct,return_10d_pct,return_20d_pct,amount_rank,turnover_rank,market_cap_rank,high_return_rank,close_return_rank,limit_up_price,upper_limit_touched,upper_limit_closed,upper_limit_released,one_price_upper_limit,upper_limit_label_status,upper_limit_touch_count_5d,upper_limit_close_count_5d,high_return_ge_10_count_5d,high_return_ge_20_count_5d,corporate_action_warning,new_listing_or_no_reference,data_quality_status,max_source_date
2022-08-22,2022-08-19,000020,동화약품,exact_source_row,,KOSPI,2022-08-19,3,10200,10100,10200,10000,10100,117420,1184829200,282107847000,27931470,-0.980392,0,-1.960784,-0.980392,0.420386,-4.716981,-4.716981,-6.481481,-6.481481,906,1146,704,1020,646,13250,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,000040,KR모터스,exact_source_row,,KOSPI,2022-08-19,3,711,708,715,697,711,215981,152509093,68354448615,96138465,-0.421941,0.562588,-1.969058,0,0.224656,0.994318,-0.280505,0.140845,-4.306864,1989,1661,1904,741,262,924,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,000050,경방,exact_source_row,,KOSPI,2022-08-19,3,12450,12400,12400,12000,12300,11118,134939650,337207821000,27415270,-0.401606,-0.401606,-3.614458,-1.204819,0.040554,-5.747126,-7.518797,-6.818182,-3.90625,2037,2330,597,1663,741,16150,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,000060,메리츠화재,exact_source_row,,KOSPI,2022-08-19,3,39200,38500,39300,38400,38700,80789,3129011250,4520237400000,116802000,-1.785714,0.255102,-2.040816,-1.27551,0.069167,0.129366,3.614458,6.758621,17.808219,526,2241,75,926,784,50900,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,000070,삼양홀딩스,exact_source_row,,KOSPI,2022-08-19,3,73500,73300,73500,71700,71700,8874,640012800,614058230700,8564271,-0.272109,0,-2.44898,-2.44898,0.103617,-3.238866,-5.781866,-2.845528,-0.692521,1235,2111,373,1021,1359,95500,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,000075,삼양홀딩스우,exact_source_row,,KOSPI,2022-08-19,3,60300,58300,60300,58300,60300,19,1126900,18334697400,304058,-3.31675,0,-3.31675,0,0.006249,-0.165563,0.5,0.83612,-0.165563,2422,2423,2335,1022,263,78300,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,000080,하이트진로,exact_source_row,,KOSPI,2022-08-19,3,30400,30150,30650,30050,30600,120589,3661072450,2146088496600,70133611,-0.822368,0.822368,-1.151316,0.657895,0.171942,0.657895,-5.990783,-2.392344,3.553299,478,1835,144,624,181,39500,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,000087,하이트진로2우B,exact_source_row,,KOSPI,2022-08-19,3,19100,19050,19100,18550,18700,1507,28187250,21133580600,1130138,-0.26178,0,-2.879581,-2.094241,0.133347,-2.094241,-3.608247,0.268097,2.185792,2338,1983,2328,1023,1165,24800,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,000088,한화3우B,exact_source_row,,KOSPI,2022-08-19,3,15850,15700,15700,15450,15500,54865,853462100,348316000000,22472000,-0.946372,-0.946372,-2.523659,-2.208202,0.244148,-1.273885,-2.208202,1.639344,11.913357,1061,1601,584,2121,1225,20600,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,000100,유한양행,exact_source_row,,KOSPI,2022-08-19,3,57300,56700,57200,56600,57100,80927,4606930000,4181517279600,73231476,-1.04712,-0.17452,-1.22164,-0.34904,0.110508,-0.695652,-2.725724,-2.058319,-1.211073,417,2085,82,1444,425,74400,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
