code,current_or_latest_name,first_date,last_date,trading_day_count,raw_trading_day_count,markets,available_year_count,raw_available_year_count,latest_close,latest_marcap,status_inferred,profile_path
000001,덕양에너젠,2026-01-30,2026-06-22,94,94,KOSDAQ,1,1,9600,238955472000,active_like,atlas/symbol_profiles/000/000001.json
000004,디비금융제14호스팩,2025-07-22,2026-06-22,223,329,KOSDAQ,2,2,8830,91871452440,active_like,atlas/symbol_profiles/000/000004.json
000007,인벤테라,2025-12-16,2026-06-22,124,178,KOSDAQ,2,2,19140,153700401360,active_like,atlas/symbol_profiles/000/000007.json
000008,에스엔시스,2025-08-19,2026-06-22,204,204,KOSDAQ,2,2,27600,260449166400,active_like,atlas/symbol_profiles/000/000008.json
000009,에임드바이오,2025-12-04,2026-06-22,132,132,KOSDAQ,2,2,24550,1587677002550,active_like,atlas/symbol_profiles/000/000009.json
000010,보원케미칼,1995-05-02,2026-06-22,2605,2678,KOSDAQ|KOSPI,12,12,7710,39362634000,active_like,atlas/symbol_profiles/000/000010.json
000011,액스비스,2026-03-09,2026-06-22,72,107,KOSDAQ,1,1,7200,338037055200,active_like,atlas/symbol_profiles/000/000011.json
000013,삼진식품,2025-12-22,2026-06-22,120,120,KOSDAQ,2,2,5310,52668063360,active_like,atlas/symbol_profiles/000/000013.json
000015,아로마티카,2025-11-17,2026-06-22,145,410,KOSDAQ,2,2,16890,197655917490,active_like,atlas/symbol_profiles/000/000015.json
000017,세미티에스,2026-06-10,2026-06-22,9,9,KOSDAQ,1,1,4420,133203873660,active_like,atlas/symbol_profiles/000/000017.json
000020,동화약품,1995-05-02,2026-06-22,7830,7846,KOSPI,32,32,5030,140495294100,active_like,atlas/symbol_profiles/000/000020.json
000021,동화약품(1신),1995-06-30,1996-03-28,133,220,KOSPI,2,2,22500,8325000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000021.json
000030,대신밸류리츠,1995-05-02,2026-06-22,2761,3156,KOSPI,14,16,3870,231348600000,active_like,atlas/symbol_profiles/000/000030.json
000037,KB제32호스팩,2025-07-04,2026-06-22,235,235,KOSDAQ,2,2,1990,12596700000,active_like,atlas/symbol_profiles/000/000037.json
000040,KR모터스,1995-05-02,2026-06-22,7640,7846,KOSPI,32,32,298,25739804832,active_like,atlas/symbol_profiles/000/000040.json
000041,엘에스스팩1호,1996-05-18,2026-06-22,258,837,KOSDAQ|KOSPI,3,3,2005,12090150000,active_like,atlas/symbol_profiles/000/000041.json
000042,효성기계(2신),1996-10-22,1996-12-27,0,56,KOSPI,0,1,,,inactive_or_delisted_like,atlas/symbol_profiles/000/000042.json
000044,삼성스팩10호,2025-08-21,2026-06-22,202,202,KOSDAQ,2,2,1988,14949760000,active_like,atlas/symbol_profiles/000/000044.json
000050,경방,1995-05-02,2026-06-22,7550,7846,KOSPI,32,32,8080,221515381600,active_like,atlas/symbol_profiles/000/000050.json
000054,엔에이치스팩32호,2025-12-05,2026-06-22,131,131,KOSDAQ,2,2,2015,12526247500,active_like,atlas/symbol_profiles/000/000054.json
000060,메리츠화재,1995-05-02,2023-01-27,7002,7035,KOSPI,29,29,51600,5732970012000,inactive_or_delisted_like,atlas/symbol_profiles/000/000060.json
000068,비엔케이제3호스팩,2025-11-21,2026-06-22,141,141,KOSDAQ,2,2,1987,8563970000,active_like,atlas/symbol_profiles/000/000068.json
000070,에스테크엠,1995-05-02,2026-06-22,7800,7883,KONEX|KOSPI,32,32,54200,420764952200,active_like,atlas/symbol_profiles/000/000070.json
000071,삼성스팩11호,1995-12-12,2026-06-22,331,331,KOSDAQ|KOSPI,4,4,2015,11606400000,active_like,atlas/symbol_profiles/000/000071.json
000072,KB제33호스팩,2025-09-30,2026-06-22,174,174,KOSDAQ,2,2,1991,15699035000,active_like,atlas/symbol_profiles/000/000072.json
000075,삼양홀딩스우,1995-05-02,2025-07-31,7035,7643,KOSPI,31,31,83500,12599649000,inactive_or_delisted_like,atlas/symbol_profiles/000/000075.json
000076,삼양사(1우1신),1995-12-12,1996-06-22,104,157,KOSPI,2,2,11400,720468600,inactive_or_delisted_like,atlas/symbol_profiles/000/000076.json
000080,하이트진로,1995-05-02,2026-06-22,6156,6165,KOSPI,27,27,15110,1059718862210,active_like,atlas/symbol_profiles/000/000080.json
000081,진로(1신),1996-02-06,1996-09-24,188,189,KOSPI,1,1,17000,53116942000,inactive_or_delisted_like,atlas/symbol_profiles/000/000081.json
000082,카나프테라퓨틱스,2026-03-16,2026-06-22,67,67,KOSDAQ,1,1,16510,219006470800,active_like,atlas/symbol_profiles/000/000082.json
000085,진로(1우),1995-05-02,2003-01-09,2024,2060,KOSPI,9,9,550,956245400,inactive_or_delisted_like,atlas/symbol_profiles/000/000085.json
000086,진로(1우1신),1996-02-06,1996-09-24,131,189,KOSPI,1,1,8000,1403792000,inactive_or_delisted_like,atlas/symbol_profiles/000/000086.json
000087,하이트진로2우B,2011-09-26,2026-06-22,3622,3622,KOSPI,16,16,12650,14296245700,active_like,atlas/symbol_profiles/000/000087.json
000088,메리츠제1호스팩,2016-10-19,2026-06-22,2372,2556,KOSDAQ|KOSPI,11,11,37500,727666537500,active_like,atlas/symbol_profiles/000/000088.json
000090,두산상사,1995-05-02,1998-08-28,977,1009,KOSPI,4,4,1480,8880000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000090.json
000091,신영스팩11호,1995-05-02,2026-06-22,391,460,KOSDAQ|KOSPI,4,4,2020,12257360000,active_like,atlas/symbol_profiles/000/000091.json
000092,유 니 온(2신),1996-07-03,1996-11-30,123,123,KOSPI,1,1,28100,11240000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000092.json
000093,미래에셋비전스팩8호,2025-11-27,2026-06-22,137,137,KOSDAQ,2,2,1991,12742400000,active_like,atlas/symbol_profiles/000/000093.json
000096,미래에셋비전스팩9호,2025-11-28,2026-06-22,136,271,KOSDAQ,2,2,2000,13160000000,active_like,atlas/symbol_profiles/000/000096.json
000097,미래에셋비전스팩10호,2025-12-23,2026-06-22,119,119,KOSDAQ,2,2,1997,12980500000,active_like,atlas/symbol_profiles/000/000097.json
000098,교보19호스팩,2025-12-12,2026-06-22,126,126,KOSDAQ,2,2,2035,10989000000,active_like,atlas/symbol_profiles/000/000098.json
