code,current_or_latest_name,first_date,last_date,trading_day_count,raw_trading_day_count,markets,available_year_count,raw_available_year_count,latest_close,latest_marcap,status_inferred,profile_path
000001,덕양에너젠,2026-01-30,2026-06-22,94,94,KOSDAQ,1,1,9600,238955472000,active_like,atlas/symbol_profiles/000/000001.json
000004,디비금융제14호스팩,2025-07-22,2026-06-22,223,329,KOSDAQ,2,2,8830,91871452440,active_like,atlas/symbol_profiles/000/000004.json
000007,인벤테라,2025-12-16,2026-06-22,124,178,KOSDAQ,2,2,19140,153700401360,active_like,atlas/symbol_profiles/000/000007.json
000008,에스엔시스,2025-08-19,2026-06-22,204,204,KOSDAQ,2,2,27600,260449166400,active_like,atlas/symbol_profiles/000/000008.json
000009,에임드바이오,2025-12-04,2026-06-22,132,132,KOSDAQ,2,2,24550,1587677002550,active_like,atlas/symbol_profiles/000/000009.json
000010,보원케미칼,1995-05-02,2026-06-22,2605,2678,KOSDAQ|KOSPI,12,12,7710,39362634000,active_like,atlas/symbol_profiles/000/000010.json
000011,액스비스,2026-03-09,2026-06-22,72,107,KOSDAQ,1,1,7200,338037055200,active_like,atlas/symbol_profiles/000/000011.json
000013,삼진식품,2025-12-22,2026-06-22,120,120,KOSDAQ,2,2,5310,52668063360,active_like,atlas/symbol_profiles/000/000013.json
000015,아로마티카,2025-11-17,2026-06-22,145,410,KOSDAQ,2,2,16890,197655917490,active_like,atlas/symbol_profiles/000/000015.json
000017,세미티에스,2026-06-10,2026-06-22,9,9,KOSDAQ,1,1,4420,133203873660,active_like,atlas/symbol_profiles/000/000017.json
000020,동화약품,1995-05-02,2026-06-22,7830,7846,KOSPI,32,32,5030,140495294100,active_like,atlas/symbol_profiles/000/000020.json
000030,대신밸류리츠,1995-05-02,2026-06-22,2761,3156,KOSPI,14,16,3870,231348600000,active_like,atlas/symbol_profiles/000/000030.json
000037,KB제32호스팩,2025-07-04,2026-06-22,235,235,KOSDAQ,2,2,1990,12596700000,active_like,atlas/symbol_profiles/000/000037.json
000040,KR모터스,1995-05-02,2026-06-22,7640,7846,KOSPI,32,32,298,25739804832,active_like,atlas/symbol_profiles/000/000040.json
000041,엘에스스팩1호,1996-05-18,2026-06-22,258,837,KOSDAQ|KOSPI,3,3,2005,12090150000,active_like,atlas/symbol_profiles/000/000041.json
000044,삼성스팩10호,2025-08-21,2026-06-22,202,202,KOSDAQ,2,2,1988,14949760000,active_like,atlas/symbol_profiles/000/000044.json
000050,경방,1995-05-02,2026-06-22,7550,7846,KOSPI,32,32,8080,221515381600,active_like,atlas/symbol_profiles/000/000050.json
000054,엔에이치스팩32호,2025-12-05,2026-06-22,131,131,KOSDAQ,2,2,2015,12526247500,active_like,atlas/symbol_profiles/000/000054.json
000068,비엔케이제3호스팩,2025-11-21,2026-06-22,141,141,KOSDAQ,2,2,1987,8563970000,active_like,atlas/symbol_profiles/000/000068.json
000070,에스테크엠,1995-05-02,2026-06-22,7800,7883,KONEX|KOSPI,32,32,54200,420764952200,active_like,atlas/symbol_profiles/000/000070.json
000071,삼성스팩11호,1995-12-12,2026-06-22,331,331,KOSDAQ|KOSPI,4,4,2015,11606400000,active_like,atlas/symbol_profiles/000/000071.json
000072,KB제33호스팩,2025-09-30,2026-06-22,174,174,KOSDAQ,2,2,1991,15699035000,active_like,atlas/symbol_profiles/000/000072.json
000080,하이트진로,1995-05-02,2026-06-22,6156,6165,KOSPI,27,27,15110,1059718862210,active_like,atlas/symbol_profiles/000/000080.json
000082,카나프테라퓨틱스,2026-03-16,2026-06-22,67,67,KOSDAQ,1,1,16510,219006470800,active_like,atlas/symbol_profiles/000/000082.json
000087,하이트진로2우B,2011-09-26,2026-06-22,3622,3622,KOSPI,16,16,12650,14296245700,active_like,atlas/symbol_profiles/000/000087.json
000088,메리츠제1호스팩,2016-10-19,2026-06-22,2372,2556,KOSDAQ|KOSPI,11,11,37500,727666537500,active_like,atlas/symbol_profiles/000/000088.json
000091,신영스팩11호,1995-05-02,2026-06-22,391,460,KOSDAQ|KOSPI,4,4,2020,12257360000,active_like,atlas/symbol_profiles/000/000091.json
000093,미래에셋비전스팩8호,2025-11-27,2026-06-22,137,137,KOSDAQ,2,2,1991,12742400000,active_like,atlas/symbol_profiles/000/000093.json
000096,미래에셋비전스팩9호,2025-11-28,2026-06-22,136,271,KOSDAQ,2,2,2000,13160000000,active_like,atlas/symbol_profiles/000/000096.json
000097,미래에셋비전스팩10호,2025-12-23,2026-06-22,119,119,KOSDAQ,2,2,1997,12980500000,active_like,atlas/symbol_profiles/000/000097.json
000098,교보19호스팩,2025-12-12,2026-06-22,126,126,KOSDAQ,2,2,2035,10989000000,active_like,atlas/symbol_profiles/000/000098.json
000099,IBKS제25호스팩,2025-12-19,2026-06-22,121,241,KOSDAQ,2,2,1994,13958000000,active_like,atlas/symbol_profiles/000/000099.json
000100,유한양행,1995-05-02,2026-06-22,7841,7846,KOSPI,32,32,73400,5846133913400,active_like,atlas/symbol_profiles/000/000100.json
000101,하나36호스팩,1996-02-02,2026-06-22,345,387,KOSDAQ|KOSPI,3,3,1999,15472260000,active_like,atlas/symbol_profiles/000/000101.json
000104,CJ4우(전환),2019-08-09,2026-06-22,1683,1683,KOSPI,8,8,159400,673706012800,active_like,atlas/symbol_profiles/000/000104.json
000105,유진스팩12호,1995-05-10,2026-06-22,6591,7973,KOSDAQ|KOSPI,32,32,60800,71801152000,active_like,atlas/symbol_profiles/000/000105.json
000115,삼성스팩13호,2026-01-21,2026-06-22,101,101,KOSDAQ,1,1,1997,14677950000,active_like,atlas/symbol_profiles/000/000115.json
000117,피스피스스튜디오,2026-06-08,2026-06-22,11,11,KOSDAQ,1,1,6600,93514812600,active_like,atlas/symbol_profiles/000/000117.json
000120,삼양바이오팜,1995-05-02,2026-06-22,7813,7986,KOSPI,32,32,76800,1751988019200,active_like,atlas/symbol_profiles/000/000120.json
000126,삼성에피스홀딩스,2025-11-24,2026-06-22,140,140,KOSPI,2,2,412500,10264257712500,active_like,atlas/symbol_profiles/000/000126.json
000129,신한제18호스팩,2026-04-30,2026-06-22,34,34,KOSDAQ,1,1,1985,11155700000,active_like,atlas/symbol_profiles/000/000129.json
000130,신한제17호스팩,1995-05-02,2026-06-22,1094,1192,KOSDAQ|KOSPI,5,6,2000,15400000000,active_like,atlas/symbol_profiles/000/000130.json
