code,name,first_date,last_date
000001,덕양에너젠,2026-01-30,2026-02-20
000004,디비금융제14호스팩,2025-07-22,2026-02-20
000004,엔비알모션,2026-01-14,2026-02-20
000007,아크릴,2025-12-16,2026-02-20
000008,에스엔시스,2025-08-19,2026-02-20
000009,에임드바이오,2025-12-04,2026-02-20
000010,제이피아이헬스케어,2025-08-21,2026-02-20
000010,조흥은행,1995-05-02,2004-07-01
000013,삼진식품,2025-12-22,2026-02-20
000015,그린광학,2025-11-17,2026-02-20
000015,아로마티카,2025-11-27,2026-02-20
000015,페스카로,2025-12-10,2026-02-20
000020,동화약품,1995-05-02,2026-02-20
000021,동화약품(1신),1995-06-30,1996-03-28
000030,대신밸류리츠,2025-07-10,2026-02-20
000030,상업은행,1995-05-02,1999-01-08
000030,우리은행,2014-11-19,2019-02-12
000030,한빛은행,1999-01-11,2002-04-26
000037,KB제32호스팩,2025-07-04,2026-02-20
000040,KR모터스,2014-04-18,2026-02-20
000040,S&T모터스,2007-04-18,2014-04-17
000040,대전피혁,1995-05-02,1996-04-30
000040,효성기계,1996-11-25,2007-04-17
000040,효성기계공업,1996-05-02,1996-11-22
000041,교보18호스팩,2025-08-14,2026-02-20
000041,엘에스스팩1호,2025-07-22,2026-02-20
000041,하나35호스팩,2025-08-06,2026-02-20
000041,효성기계(1신),1996-11-25,1996-12-27
000041,효성기계공업(1신),1996-05-02,1996-11-22
000042,효성기계(2신),1996-11-25,1996-12-27
000042,효성기계공업(2신),1996-10-22,1996-11-22
000044,삼성스팩10호,2025-08-21,2026-02-20
000050,경    방,1996-11-25,2000-04-18
000050,경방,1995-05-02,2026-02-20
000054,엔에이치스팩32호,2025-12-05,2026-02-20
000060,동양화재,1995-05-02,2005-10-21
000060,메리츠화재,2005-10-24,2023-02-20
000068,비엔케이제3호스팩,2025-11-21,2026-02-20
000070,삼 양 사,1996-11-25,2000-04-18
000070,삼양사,1995-05-02,2011-12-02
000070,삼양홀딩스,2011-12-05,2026-02-20
000071,삼성스팩11호,2025-09-30,2026-02-20
000071,삼양사(1신),1995-12-12,1996-06-27
000072,KB제33호스팩,2025-09-30,2026-02-20
000075,삼 양 사(1우),1996-11-25,2000-04-18
000075,삼양사(1우 ),2001-06-28,2001-07-04
000075,삼양사(1우),1995-05-02,2006-12-19
000075,삼양사(1우B),2006-12-20,2008-08-01
000075,삼양사우,2008-08-04,2011-12-02
000075,삼양홀딩스우,2011-12-05,2025-08-19
000076,삼양사(1우1신),1996-06-22,1996-06-27
000076,삼양사(우선1신),1996-01-03,1996-06-21
000076,삼양사(우선신),1995-12-12,1995-12-27
000080,진    로,1996-11-25,2000-04-18
000080,진로,1995-05-02,2011-09-23
000080,하이트진로,2011-09-26,2026-02-20
000081,진로(1신),1996-02-06,1996-09-24
000085,진    로(1우),1996-11-25,2000-04-18
000085,진로(1우 ),2001-06-28,2001-07-04
000085,진로(1우),1995-05-02,2003-01-09
000086,진로(1우1신),1996-06-22,1996-09-24
000086,진로(우선1신),1996-02-06,1996-06-21
000087,하이트진로2우B,2011-09-26,2026-02-20
000088,메리츠제1호스팩,2025-12-15,2026-02-20
000088,한화3우B,2016-10-19,2026-02-20
000090,두산상사,1995-05-02,1998-10-08
000091,두산상사(1신),1995-05-02,1995-12-27
000091,신영스팩11호,2025-11-24,2026-02-20
000091,유 니 온(1신),1996-11-25,1996-11-30
000091,유니온(1신),1996-07-03,1996-11-22
000092,유 니 온(2신),1996-11-25,1996-11-30
000092,유니온(2신),1996-07-03,1996-11-22
000093,미래에셋비전기업스팩8호,2025-11-27,2025-11-27
000093,미래에셋비전스팩8호,2025-11-28,2026-02-20
000096,미래에셋비전스팩9호,2025-12-01,2026-02-20
000096,삼성스팩12호,2025-11-28,2026-02-20
000097,미래에셋비전스팩10호,2025-12-23,2026-02-20
000098,교보19호스팩,2025-12-12,2026-02-20
000099,IBKS제25호스팩,2025-12-19,2026-02-20
000099,미래에셋비전스팩11호,2025-12-22,2026-02-20
000100,유한양행,1995-05-02,2026-02-20
000101,유한양행(1신),1996-02-02,1996-12-27
000101,하나36호스팩,2025-12-22,2026-02-20
000102,유한양행(2신),1996-04-30,1996-12-27
000104,CJ4우(전환),2019-08-09,2026-02-20
000105,유진스팩12호,2025-12-11,2026-02-20
000105,유한양행(1우 ),2001-06-28,2001-07-04
000105,유한양행(1우),1995-05-02,2006-12-19
000105,유한양행(1우B),2006-12-20,2008-08-01
000105,유한양행우,2008-08-04,2026-02-20
000106,유한양행(1우1신),1996-06-22,1996-12-27
000106,유한양행(우선1신),1996-04-30,1996-06-21
000107,유한양행(2우B),1999-01-29,2004-01-07
000110,제일은행,1995-05-02,2005-04-21
000115,삼성스팩13호,2026-01-21,2026-02-20
000120,CJ대한통운,2012-04-27,2026-02-20
