code,current_or_latest_name,first_date,last_date,trading_day_count,available_years,raw_available_years,profile_path
000001,덕양에너젠,2026-01-30,2026-02-20,13,2026,2026,atlas/symbol_profiles/000/000001.json
000004,디비금융제14호스팩,2025-07-22,2026-02-20,142,2025|2026,2025|2026,atlas/symbol_profiles/000/000004.json
000007,아크릴,2025-12-16,2026-02-20,43,2025|2026,2025|2026,atlas/symbol_profiles/000/000007.json
000008,에스엔시스,2025-08-19,2026-02-20,123,2025|2026,2025|2026,atlas/symbol_profiles/000/000008.json
000009,에임드바이오,2025-12-04,2026-02-20,51,2025|2026,2025|2026,atlas/symbol_profiles/000/000009.json
000010,제이피아이헬스케어,1995-05-02,2026-02-20,2524,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2025|2026,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2025|2026,atlas/symbol_profiles/000/000010.json
000013,삼진식품,2025-12-22,2026-02-20,39,2025|2026,2025|2026,atlas/symbol_profiles/000/000013.json
000015,아로마티카,2025-11-17,2026-02-20,64,2025|2026,2025|2026,atlas/symbol_profiles/000/000015.json
000020,동화약품,1995-05-02,2026-02-20,7749,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026,atlas/symbol_profiles/000/000020.json
000021,동화약품(1신),1995-06-30,1996-03-28,133,1995|1996,1995|1996,atlas/symbol_profiles/000/000021.json
000030,대신밸류리츠,1995-05-02,2026-02-20,2680,1995|1996|1997|1998|1999|2000|2014|2015|2016|2017|2018|2019|2025|2026,1995|1996|1997|1998|1999|2000|2001|2002|2014|2015|2016|2017|2018|2019|2025|2026,atlas/symbol_profiles/000/000030.json
000037,KB제32호스팩,2025-07-04,2026-02-20,154,2025|2026,2025|2026,atlas/symbol_profiles/000/000037.json
000040,KR모터스,1995-05-02,2026-02-20,7559,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026,atlas/symbol_profiles/000/000040.json
000041,엘에스스팩1호,1996-05-18,2026-02-20,177,1996|2025|2026,1996|2025|2026,atlas/symbol_profiles/000/000041.json
000042,효성기계(2신),1996-10-22,1996-12-27,0,,1996,atlas/symbol_profiles/000/000042.json
000044,삼성스팩10호,2025-08-21,2026-02-20,121,2025|2026,2025|2026,atlas/symbol_profiles/000/000044.json
000050,경방,1995-05-02,2026-02-20,7469,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026,atlas/symbol_profiles/000/000050.json
000054,엔에이치스팩32호,2025-12-05,2026-02-20,50,2025|2026,2025|2026,atlas/symbol_profiles/000/000054.json
000060,메리츠화재,1995-05-02,2023-01-27,7002,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,atlas/symbol_profiles/000/000060.json
000068,비엔케이제3호스팩,2025-11-21,2026-02-20,60,2025|2026,2025|2026,atlas/symbol_profiles/000/000068.json
000070,삼양홀딩스,1995-05-02,2026-02-20,7719,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026,1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026,atlas/symbol_profiles/000/000070.json
