code=005930
name=삼성전자
source=FinanceData/marcap
price_adjustment_status=raw_unadjusted_marcap
date|open|high|low|close|volume
2024-01-02|78200|79800|78200|79600|17142847
2024-01-03|78500|78800|77000|77000|21753644
2024-01-04|76100|77300|76100|76600|15324439
2024-01-05|76700|77100|76400|76600|11304316
2024-01-08|77000|77500|76400|76500|11088724
...
2024-12-23|53400|54000|53300|53500|13672650
2024-12-24|53700|54500|53600|54400|11634677
2024-12-26|54500|54600|53500|53600|10517075
2024-12-27|53500|54100|53200|53700|10747196
2024-12-30|53300|54000|53100|53200|12624702
