code=005930
name=삼성전자
source=FinanceData/marcap
price_adjustment_status=raw_unadjusted_marcap
date|open|high|low|close|volume
2024-01-02|70001|70251|69851|70051|10001
2024-01-03|70101|70351|69951|70151|10002
2024-01-04|70201|70451|70051|70251|10003
2024-01-05|70301|70551|70151|70351|10004
2024-01-08|70401|70651|70251|70451|10005
...
2024-12-25|95601|95851|95451|95651|10257
2024-12-26|95701|95951|95551|95751|10258
2024-12-27|95801|96051|95651|95851|10259
2024-12-30|95901|96151|95751|95951|10260
2024-12-31|96001|96251|95851|96051|10261
